NDID,Product_Name,grams_Pro_per_100g,grams_Fat_per_100g,grams_Cho_per_100g,Category_1,Category_2,Category_3,Serving_Size,Store,Package_Amount,Price_per_Package
ND00102,Beech-Nut Classics Stage 1 Baby Food-Turkey and Turkey Broth (jar),8.450704225,5.633802817,0,Baby_Foods,Baby_Meats,Stage_1,1 jar,WD,71,1.19
ND00101,Beech-Nut Stage 1 Baby Food-Beef and Beef Broth (jar),11.26760563,1.408450704,0,Baby_Foods,Baby_Meats,Stage_1,1 jar,WD,71,1.19
ND00207,Fruit2O Natural - Grape,0,0,0,Beverages,Flavored_Water,Null,1 bottle,PB,2838,3.79
ND00208,Fruit2O Natural - Raspberry,0,0,0,Beverages,Flavored_Water,Null,1 bottle,PB,2838,3.79
ND00220,MiO Energy Liquid Water Enhancer - Black Cherry,0,0,0,Beverages,Flavored_Water,Null,0.5 tsp (1/18 bottle),PB,48,3.79
ND00219,MiO Energy Liquid Water Enhancer - Green Thunder,0,0,0,Beverages,Flavored_Water,Null,0.5 tsp,PB,48,3.79
ND00218,MiO Fit Liquid Water Enhancer - Arctic Grape,0,0,0,Beverages,Flavored_Water,Null,0.5 tsp (1/18 bottle),PB,48,3.79
ND00217,MiO Liquid Water Enhancer - Berry Pomegranate,0,0,0,Beverages,Flavored_Water,Null,0.5 tsp (1/18 bottle),PB,48,3.79
ND00216,MiO Liquid Water Enhancer - Fruit Punch,0,0,0,Beverages,Flavored_Water,Null,0.5 tsp,PB,48,3.79
ND00215,MiO Liquid Water Enhancer - Lemonade,0,0,0,Beverages,Flavored_Water,Null,0.5 tsp,PB,48,3.79
ND00213,MiO Liquid Water Enhancer - Mango Peach,0,0,0,Beverages,Flavored_Water,Null,0.5 tsp,PB,48,3.79
ND00214,MiO Liquid Water Enhancer - Orange Tangerine,0,0,0,Beverages,Flavored_Water,Null,0.5 tsp,PB,48,3.79
ND00212,MiO Liquid Water Enhancer - Strawberry Watermelon,0,0,0,Beverages,Flavored_Water,Null,0.5 tsp,PB,48,3.79
ND00211,MiO Liquid Water Enhancer - Sweet Tea,0,0,0,Beverages,Flavored_Water,Null,0.5 tsp,PB,48,3.79
ND00227,Propel Zero- Nutrient Enhanced Water Beverage - Kiwi Strawberry,0,0,0,Beverages,Flavored_Water,Null,1 bottle,PB,3000,4.29
ND00224,Propel Zero- Nutrient Enhanced Water Beverage - Lemon,0,0,0,Beverages,Flavored_Water,Null,1 bottle,PB,3000,4.29
