NDID,grams_Pro_per_100g,grams_Fat_per_100g,grams_Cho_per_100g,Category_1,Category_2,Category_3,Serving_Size,Store,Package_Amount,Price_per_Package
ND00102,8.450704225,5.633802817,0,Baby_Foods,Baby_Meats,Stage_1,1 jar,WD,71,1.19
ND00101,11.26760563,1.408450704,0,Baby_Foods,Baby_Meats,Stage_1,1 jar,WD,71,1.19
ND00207,0,0,0,Beverages,Flavored_Water,Null,1 bottle,PB,2838,3.79
ND00208,0,0,0,Beverages,Flavored_Water,Null,1 bottle,PB,2838,3.79
ND00220,0,0,0,Beverages,Flavored_Water,Null,0.5 tsp (1/18 bottle),PB,48,3.79
ND00219,0,0,0,Beverages,Flavored_Water,Null,0.5 tsp,PB,48,3.79
ND00218,0,0,0,Beverages,Flavored_Water,Null,0.5 tsp (1/18 bottle),PB,48,3.79
ND00217,0,0,0,Beverages,Flavored_Water,Null,0.5 tsp (1/18 bottle),PB,48,3.79
ND00216,0,0,0,Beverages,Flavored_Water,Null,0.5 tsp,PB,48,3.79
ND00215,0,0,0,Beverages,Flavored_Water,Null,0.5 tsp,PB,48,3.79
ND00213,0,0,0,Beverages,Flavored_Water,Null,0.5 tsp,PB,48,3.79
ND00214,0,0,0,Beverages,Flavored_Water,Null,0.5 tsp,PB,48,3.79
ND00212,0,0,0,Beverages,Flavored_Water,Null,0.5 tsp,PB,48,3.79
ND00211,0,0,0,Beverages,Flavored_Water,Null,0.5 tsp,PB,48,3.79
ND00227,0,0,0,Beverages,Flavored_Water,Null,1 bottle,PB,3000,4.29
ND00224,0,0,0,Beverages,Flavored_Water,Null,1 bottle,PB,3000,4.29
ND00225,0,0,0,Beverages,Flavored_Water,Null,1 bottle,PB,3000,4.29
ND00221,0,0,0,Beverages,Flavored_Water,Null,1 bottle,PB,3000,4.29
ND00223,0,0,0,Beverages,Flavored_Water,Null,1 bottle,PB,3000,4.29
ND00226,0,0,0,Beverages,Flavored_Water,Null,1 bottle,PB,3000,4.29
ND00261,0,0,0,Beverages,Powdered_Mix,Null,1/8 package,SW,6.2,0.2
ND00259,0,0,0,Beverages,Powdered_Mix,Null,1/8 package,PB,3.6,0.2
ND00260,0,0,0,Beverages,Powdered_Mix,Null,1/8 package,SW,6.5,0.2
ND00262,0,0,0,Beverages,Powdered_Mix,Null,1/8 package,SW,3.6,0.2
ND00264,0,0,0,Beverages,Powdered_Mix,Null,1/8 package,SW,4,0.2
ND00265,0,0,0,Beverages,Powdered_Mix,Null,1/8 package,SW,6.5,0.29
ND00266,0,0,0,Beverages,Powdered_Mix,Null,1/8 package,SW,3.9,0.2
ND00267,0,0,0,Beverages,Powdered_Mix,Null,1/8 package,SW,3.9,0.2
