ND_ID	Category_1	Category_2	Category_3	Product_Name	grams_Pro_per_100g	grams_Fat_per_100g	grams_Cho_per_100g	Serving_Size	Date_Obtained	Control_Number	Manufacturer	Store	Package_Amount	Package_unit	Price_per_Package	Price_Per_Unit
ND00009	Baby_Foods	Baby_Cereal_and_Rice_Snacks	Null	Baby Mum-Mum Selected Superior Rice Rusks- Banana	12.50	0.00	87.50	4 rusks	8/23/2014	2015APR08	WANT WANT FOODS LTD	WD	50	ml_or_g	2.99	0.0598
ND00010	Baby_Foods	Baby_Cereal_and_Rice_Snacks	Null	Baby Mum-Mum Selected Superior Rice Rusks- Vegetable	12.50	0.00	87.50	4 rusks	8/23/2014	2015MAR04	WANT WANT FOODS LTD	WD	50	ml_or_g	2.99	0.0598
ND00012	Baby_Foods	Baby_Cereal_and_Rice_Snacks	Null	Gerber Graduates Lil Biscuits- Vanilla Wheat 	0.00	14.29	75.00	1 biscuit 	1/17/2015	0468042935256XX	Gerber Products Company	SW	126	ml_or_g	1.98	0.0157
ND00001	Baby_Foods	Baby_Cereal_and_Rice_Snacks	Null	Gerber Graduates Puffs - Apple Cinnamon	0.00	0.00	89.29	1/2 cup (60 pieces)	5/24/2015	04526 43285256XX	Gerber Products Company	PB	42	g	2.00	0.0476
ND00002	Baby_Foods	Baby_Cereal_and_Rice_Snacks	Null	Gerber Graduates Puffs - Banana	0.00	0.00	89.29	1/2 cup (60 pieces)	1/17/2015	0452142765256XX	Gerber Products Company	SW	42	ml_or_g	1.98	0.0471
ND00003	Baby_Foods	Baby_Cereal_and_Rice_Snacks	Null	Gerber Graduates Puffs - Blueberry	0.00	0.00	89.29	1/2 cup (60 pieces)	1/17/2015	0452942275256XX	Gerber Products Company	SW	42	ml_or_g	1.98	0.0471
ND00004	Baby_Foods	Baby_Cereal_and_Rice_Snacks	Null	Gerber Graduates Puffs - Peach	0.00	0.00	89.29	1/2 cup (60 pieces)	1/17/2015		Gerber Products Company	SW	42	g	1.98	0.0471
ND00005	Baby_Foods	Baby_Cereal_and_Rice_Snacks	Null	Gerber Graduates Puffs - Strawberry Apple	0.00	0.00	89.29	1/2 cup (60 pieces)	5/24/2015	04520 50135256XX	Gerber Products Company	PB	42	g	2.00	0.0476
ND00006	Baby_Foods	Baby_Cereal_and_Rice_Snacks	Null	Gerber Graduates Puffs - Sweet Potatoes	0.00	0.00	89.29	1/2 cup (60 pieces)	1/17/2015	0452242665256XX	Gerber Products Company	SW	42	ml_or_g	1.98	0.0471
ND00007	Baby_Foods	Baby_Cereal_and_Rice_Snacks	Null	Gerber Graduates Puffs- Vanilla 	0.00	0.00	89.29	1/2 cup (60 pieces)	1/17/2015	0452843005256XX	Gerber Products Company	SW	42	ml_or_g	1.98	0.0471
